predclass,age,workclass,occupation,native-country,education,marital-status,education-num,hours-per-week,capital-gain,capital-loss,race,sex,relationship,age-hours,sex-marital
0,29,3,5,1,4,0,8,39,0,0,4,0,5,796,0
0,42,3,2,1,4,0,8,47,0,0,4,1,0,1098,5
1,27,3,3,1,4,3,8,39,110,0,4,0,1,766,3
0,36,3,2,1,4,3,8,34,0,0,4,0,3,801,3
1,32,1,6,1,4,0,8,39,0,0,4,1,0,836,5
0,16,3,4,1,5,0,13,49,0,0,4,1,0,726,5
0,13,3,2,1,3,1,4,39,0,0,4,1,1,562,6
1,26,4,4,1,2,1,15,49,0,0,4,0,1,900,1
0,40,3,4,1,0,0,10,39,0,0,4,1,0,943,5
0,20,3,3,1,4,3,9,39,0,0,4,0,4,669,3
0,11,3,3,1,4,3,9,24,0,0,2,0,4,354,3
0,13,3,2,0,4,0,8,34,0,24,1,0,5,498,0
1,17,1,6,1,1,0,12,39,0,0,4,1,0,623,5
0,12,1,3,1,4,1,9,49,0,0,4,1,1,657,6
1,31,2,4,1,2,0,15,59,0,51,4,1,0,1109,5
1,20,3,2,1,4,0,9,47,0,0,4,1,0,774,5
0,31,3,2,3,0,3,11,39,0,0,4,0,4,823,3
0,15,4,5,1,4,1,8,39,0,0,2,1,3,595,6
1,59,3,2,1,5,0,13,39,0,0,4,1,0,1144,5
1,27,3,2,1,1,0,12,59,112,0,4,1,0,1049,5
0,30,2,4,1,5,1,13,49,0,0,4,0,1,964,1
0,3,3,2,1,4,1,9,39,0,0,4,0,3,396,1
0,12,3,3,1,4,1,8,39,0,0,4,1,1,545,6
1,15,2,3,1,4,0,8,39,98,0,4,1,0,595,5
0,0,0,0,1,3,1,5,31,120,0,4,0,3,286,1
0,13,3,3,1,3,1,6,39,0,0,4,1,3,562,6
0,14,1,1,1,4,1,8,39,0,0,4,0,1,579,1
0,25,3,3,1,4,0,8,39,0,0,4,1,0,738,5
0,7,3,2,1,1,1,12,39,0,0,4,1,2,459,6
1,21,3,4,1,6,0,14,39,0,0,4,1,0,683,5
1,39,2,5,3,4,0,8,49,0,50,4,1,0,1091,5
0,11,3,2,1,4,0,9,24,68,0,4,0,5,354,0
0,19,3,3,1,4,1,8,39,0,0,4,0,3,654,1
0,36,3,3,1,3,0,4,49,0,0,4,1,0,1051,5
0,39,2,2,1,4,0,9,49,0,0,4,1,0,1091,5
1,32,1,3,1,0,0,10,39,0,0,2,1,0,836,5
0,38,3,2,1,4,0,9,55,0,0,4,1,0,1154,5
0,5,3,3,1,4,1,8,40,0,0,4,1,1,439,6
0,4,3,5,1,4,1,9,39,0,0,4,0,3,414,1
0,23,3,2,1,1,0,12,59,0,0,4,1,0,979,5
0,13,3,2,5,1,1,12,39,0,0,2,1,3,562,6
1,12,1,4,1,1,0,12,49,0,0,4,1,0,657,5
0,2,3,5,1,4,1,9,34,0,0,2,1,3,341,6
1,30,3,2,1,1,0,12,39,0,0,4,0,5,808,0
0,3,3,1,1,4,1,9,27,0,36,4,0,3,293,1
1,14,3,1,1,0,0,11,39,0,0,4,1,0,579,5
0,18,0,0,1,4,0,8,39,0,0,4,1,0,638,5
0,22,3,3,1,4,3,9,39,0,0,4,1,1,695,8
0,11,3,2,1,0,1,11,59,0,0,4,0,1,738,1
0,7,3,5,1,4,1,8,39,0,43,4,0,1,459,1
0,21,2,3,1,4,0,8,34,70,0,4,1,0,614,5
0,20,3,2,1,1,0,12,49,0,0,4,1,0,800,5
0,29,3,2,1,0,3,11,35,0,0,2,0,1,729,3
1,21,4,4,4,5,0,13,39,0,0,4,1,0,683,5
0,26,2,3,1,4,0,8,59,0,0,4,1,0,1032,5
0,10,3,1,1,0,0,10,34,0,0,4,0,5,455,0
0,3,3,2,1,4,1,9,19,0,0,4,1,3,217,6
1,32,3,3,1,4,0,9,39,0,0,1,1,0,836,5
0,44,2,3,1,4,0,8,39,0,0,4,1,0,991,5
0,10,3,2,1,4,1,9,39,0,0,4,0,3,513,1
0,2,3,5,2,4,1,9,29,0,0,4,1,3,298,6
1,28,3,4,1,0,1,10,39,0,23,4,0,1,782,1
0,53,3,2,1,4,1,9,39,0,0,4,1,2,1091,6
0,14,3,3,1,4,1,8,29,0,0,2,0,4,450,1
0,5,3,5,1,4,0,9,23,0,0,4,1,0,280,5
0,19,3,5,1,4,4,8,23,0,0,4,0,4,424,4
0,47,3,3,1,3,0,6,39,0,67,4,1,0,1027,5
0,26,0,0,1,4,3,9,39,0,0,4,0,1,753,3
0,30,1,1,2,4,3,9,37,0,0,4,0,4,778,3
0,17,3,1,1,4,1,8,39,0,0,4,0,1,623,1
0,16,3,2,6,1,1,12,39,0,0,1,0,2,610,1
0,4,3,3,1,4,1,8,34,0,0,4,1,3,370,6
1,35,0,0,1,4,3,8,44,0,0,4,1,1,960,8
0,31,3,3,1,4,0,8,45,0,0,4,1,0,918,5
0,6,3,3,1,1,1,12,39,0,0,4,1,1,445,6
0,54,2,2,1,4,3,9,1,0,44,2,1,4,68,8
0,12,3,3,1,4,3,8,59,0,0,4,1,1,760,8
0,25,3,5,1,1,3,12,49,0,0,2,1,2,882,8
0,51,0,0,1,3,3,1,19,0,0,4,0,1,623,3
0,8,3,5,1,4,1,8,39,0,0,4,0,4,478,1
0,27,2,2,1,5,3,13,39,0,0,1,0,4,766,3
0,11,3,2,3,4,1,8,39,0,0,1,0,1,530,1
1,28,2,2,1,5,0,13,39,0,0,4,1,0,782,5
0,19,3,5,2,4,3,9,39,0,0,4,0,4,654,3
0,22,4,2,1,0,1,11,41,0,0,4,1,1,721,6
0,29,1,6,1,5,4,13,39,0,0,4,1,4,796,9
0,1,3,3,1,3,1,6,15,0,0,4,1,3,160,6
0,49,1,4,1,0,4,10,19,0,0,4,0,1,610,4
0,10,3,5,1,4,1,8,39,0,56,4,1,1,513,6
0,11,1,6,1,4,0,8,39,0,0,4,1,0,530,5
1,34,3,2,1,4,0,9,39,0,55,4,1,0,863,5
0,10,3,3,1,1,1,12,49,0,0,4,1,1,620,6
1,11,1,4,1,1,0,12,39,0,0,4,1,0,530,5
0,10,3,2,1,4,2,8,24,0,0,4,0,4,346,2
0,4,3,3,1,4,1,8,39,0,0,2,1,3,414,6
0,17,3,3,1,4,1,8,39,0,0,2,1,1,623,6
0,1,3,5,1,4,1,8,11,0,0,4,1,3,114,6
0,16,3,4,1,1,0,12,64,0,0,4,1,0,898,5
1,27,1,2,1,4,0,9,37,0,0,2,1,0,734,5
0,26,3,1,1,4,3,9,39,0,0,4,0,1,753,3
0,13,3,3,1,4,1,9,44,0,0,2,1,1,620,6
1,23,3,3,2,3,0,3,39,0,0,4,1,0,709,5
1,20,4,1,1,4,0,9,41,0,0,4,1,0,693,5
0,17,3,1,1,4,0,8,39,0,0,2,1,0,623,5
0,24,2,2,1,1,3,12,39,0,0,4,0,1,722,3
0,36,0,0,1,1,3,12,49,0,0,4,0,1,1051,3
0,14,3,4,1,5,0,13,49,0,0,4,0,5,691,0
1,41,1,4,1,2,0,15,0,0,0,4,1,0,17,5
0,21,3,3,1,4,3,9,27,0,0,2,0,1,505,3
0,7,3,3,1,4,0,9,39,0,0,4,1,0,459,5
0,24,1,3,1,1,0,12,39,0,0,2,1,0,722,5
0,30,3,2,1,4,0,9,44,0,0,4,1,0,888,5
0,24,4,2,1,1,0,12,23,0,0,4,1,0,468,5
0,6,3,3,2,3,0,2,39,0,0,4,1,2,445,5
0,19,3,3,1,4,3,9,39,0,0,4,1,1,654,8
1,23,4,2,1,5,1,13,54,109,0,4,0,1,915,1
1,18,3,4,1,5,0,13,39,95,0,4,1,2,638,5
0,7,2,2,1,4,1,8,39,0,0,4,1,1,459,6
0,9,3,4,1,5,1,13,39,0,49,4,0,1,495,1
0,2,0,0,5,4,1,8,39,0,0,4,1,3,382,6
1,34,3,2,1,1,0,12,49,0,0,4,1,0,1023,5
0,25,1,4,1,4,1,9,39,0,13,4,0,1,738,1
0,20,1,1,1,4,3,8,34,0,0,4,0,4,601,3
0,1,3,2,1,3,1,6,39,0,0,4,0,3,362,1
1,19,3,5,1,1,0,12,35,95,0,2,1,0,602,5
0,18,3,3,1,4,3,8,59,0,0,4,1,1,882,8
1,41,2,2,1,4,0,8,34,112,0,4,0,5,861,0
0,0,3,2,1,3,1,6,11,0,0,4,0,3,106,1
0,27,1,3,1,4,0,8,39,0,0,2,1,0,766,5
1,20,3,3,1,4,0,8,39,0,0,4,1,0,669,5
0,18,3,2,1,4,1,9,39,0,0,0,0,1,638,1
0,43,3,3,1,4,0,8,39,0,0,1,1,0,979,5
1,37,2,3,1,3,0,3,39,0,0,4,1,0,902,5
1,20,3,2,1,1,1,12,59,0,0,2,1,1,923,6
0,33,3,2,1,0,3,11,39,0,0,4,0,1,849,3
0,21,3,2,4,1,0,12,49,0,0,4,1,0,818,5
0,28,3,4,1,1,0,12,54,0,0,4,1,0,1001,5
0,8,3,3,1,3,1,5,39,0,0,4,1,1,478,6
0,14,3,3,1,4,0,9,39,0,0,4,1,0,579,5
0,47,0,0,1,3,3,1,39,0,0,4,1,1,1027,8
0,73,3,5,1,4,1,8,39,0,70,2,1,1,1251,6
0,37,3,1,1,4,0,8,19,0,0,2,1,0,513,5
0,36,1,3,1,3,1,0,34,0,0,4,0,1,801,1
0,1,3,2,1,4,1,8,39,0,0,4,0,3,362,1
0,43,0,0,1,3,3,5,9,0,0,0,0,1,311,3
0,49,2,3,1,4,0,8,49,12,0,4,1,0,1199,5
0,58,3,1,2,0,4,10,19,0,0,4,0,1,676,4
0,48,3,1,1,4,3,8,39,0,0,4,0,1,1038,3
0,18,3,3,1,3,3,6,39,62,0,2,1,1,638,8
0,24,3,2,1,4,3,8,37,0,0,2,0,4,694,3
0,8,3,1,1,4,1,9,41,0,0,4,1,1,498,6
0,16,3,3,1,4,3,9,39,0,0,3,0,2,610,3
1,11,3,4,1,6,1,14,54,0,0,4,1,1,689,6
0,42,1,5,1,4,0,8,39,0,0,4,1,0,967,5
0,23,1,1,1,4,1,9,37,0,0,4,0,1,683,1
1,24,3,2,4,1,0,12,49,0,0,4,1,0,867,5
1,21,1,2,1,5,0,13,69,0,0,4,1,0,1054,5
0,6,3,3,1,4,1,8,39,0,0,4,1,3,445,6
1,23,3,4,1,1,0,12,39,0,0,4,1,0,709,5
0,24,2,5,1,4,0,8,19,0,0,4,0,5,406,0
0,7,1,6,1,0,0,11,49,0,0,4,1,0,562,5
0,3,0,0,1,4,1,9,19,0,0,4,1,3,217,6
0,21,3,3,1,4,3,9,39,0,41,4,1,1,683,8
0,39,3,1,0,4,0,8,34,0,0,4,1,0,836,5
1,41,3,1,1,4,0,8,44,0,0,4,1,0,1040,5
0,15,3,5,1,4,1,8,33,0,0,4,0,1,516,1
1,23,3,2,1,0,0,11,59,0,55,4,1,0,979,5
0,28,3,1,0,4,0,8,39,0,0,4,1,0,782,5
1,24,3,4,1,6,0,14,39,0,0,4,0,5,722,0
0,25,3,1,1,1,0,12,39,0,0,2,0,5,738,0
0,42,1,5,1,3,4,5,29,0,0,2,0,4,771,4
0,2,1,1,1,4,1,9,39,0,0,4,1,3,382,6
0,41,3,3,1,4,1,9,19,0,0,4,1,1,545,6
1,25,2,3,6,4,0,8,39,0,0,1,1,0,738,5
0,3,3,5,1,4,1,8,39,0,0,4,0,3,396,1
0,15,3,5,1,4,3,8,29,0,0,4,0,1,459,3
0,28,3,2,1,0,4,10,44,0,0,4,0,1,859,4
0,33,3,3,1,3,3,3,39,0,0,4,1,1,849,8
0,19,3,4,1,1,3,12,39,0,0,4,0,3,654,3
0,28,3,2,1,4,0,8,59,0,0,4,1,0,1066,5
0,0,3,5,1,3,1,6,11,0,0,4,1,3,106,6
0,42,3,2,1,4,0,9,39,68,0,4,1,0,967,5
0,9,3,3,1,3,0,6,39,0,0,4,1,0,495,5
1,20,2,2,6,4,0,9,73,0,0,1,1,0,1087,5
0,2,0,0,3,4,1,9,23,0,0,4,1,3,245,6
1,47,3,2,1,4,0,8,39,0,0,4,1,0,1027,5
0,16,3,4,1,1,1,12,44,0,0,4,0,1,672,1
1,16,3,3,1,4,0,8,39,0,0,4,0,5,610,0
1,44,3,2,1,4,0,8,39,0,0,4,1,0,991,5
0,0,3,5,1,3,1,4,23,6,0,4,1,3,222,6
0,33,2,3,1,5,0,13,94,36,0,4,1,0,1386,5
0,10,1,4,1,5,1,13,34,0,0,4,1,3,455,6
0,13,3,4,1,4,3,8,39,0,0,4,0,3,562,3
0,26,3,3,1,4,0,8,39,0,0,2,1,0,753,5
1,27,3,3,1,4,0,9,39,95,0,4,1,0,766,5
0,18,3,2,1,4,1,9,39,0,0,4,0,1,638,1
0,8,3,2,1,4,1,9,39,0,0,4,0,3,478,1
1,7,3,3,1,4,0,9,47,95,0,4,0,5,542,0
0,5,3,4,5,1,1,12,14,0,0,4,0,1,183,1
1,25,1,3,1,4,0,9,39,81,0,4,1,0,738,5
0,17,3,2,1,0,3,11,44,0,0,2,0,4,686,3
0,43,3,4,1,1,3,12,41,0,0,4,0,1,1014,3
0,4,3,3,1,4,1,8,39,0,0,4,1,3,414,6
1,40,4,2,1,5,0,13,39,112,0,4,1,0,943,5
1,24,3,4,1,6,0,14,59,0,0,4,1,0,998,5
0,33,3,5,1,4,3,9,44,0,0,4,1,1,931,8
0,8,3,2,1,1,1,12,39,0,0,4,0,1,478,1
0,33,3,3,2,3,0,3,39,0,0,4,1,0,849,5
0,19,3,4,1,1,0,12,44,0,0,4,1,0,715,5
0,14,3,4,1,4,3,8,39,0,0,4,0,1,579,3
0,12,1,6,1,1,1,12,55,0,0,4,1,1,716,6
0,4,3,2,1,4,1,9,44,0,0,4,1,3,455,6
0,10,3,2,1,1,1,12,39,0,0,2,0,4,513,1
0,48,3,3,1,4,0,8,15,0,0,4,1,0,495,5
0,20,2,2,1,1,3,12,59,0,0,4,0,1,923,3
0,22,0,0,0,5,0,13,39,60,0,1,0,5,695,0
0,7,3,3,1,4,1,8,39,0,0,4,1,3,459,6
0,21,3,2,1,4,3,8,78,0,0,4,1,1,1144,8
1,31,3,1,1,1,0,12,39,98,0,4,1,0,823,5
0,4,3,5,1,4,1,9,24,0,0,1,0,1,279,1
1,14,3,3,1,4,0,8,44,0,0,4,1,0,637,5
1,38,3,2,1,4,0,8,39,70,0,4,1,0,915,5
0,7,3,1,6,4,0,9,39,0,0,1,0,5,459,0
0,26,3,1,1,4,3,8,39,0,0,4,0,1,753,3
0,9,3,2,1,0,1,11,44,0,0,4,1,1,549,6
0,29,3,4,1,0,1,11,32,0,0,4,0,1,682,1
1,18,3,1,1,0,0,11,39,0,0,4,1,0,638,5
1,24,2,3,1,4,0,9,53,0,0,4,1,0,922,5
0,9,3,2,1,1,1,12,39,0,0,4,1,1,495,6
1,17,3,2,7,5,0,13,34,95,0,1,1,0,559,5
0,2,0,0,1,4,1,9,24,0,0,2,0,3,255,1
1,19,2,4,1,1,3,12,39,0,0,2,0,1,654,3
0,5,3,2,1,4,1,9,14,0,0,4,1,3,183,6
0,7,3,3,1,4,1,9,39,0,0,4,1,1,459,6
0,60,2,2,1,4,0,9,39,0,0,4,1,0,1154,5
0,5,3,3,2,3,0,2,39,0,0,4,0,2,430,0
0,12,3,2,1,4,1,9,39,0,0,4,0,1,545,1
0,45,3,5,1,4,4,8,23,0,0,4,0,1,673,4
0,22,2,2,1,4,0,8,39,0,0,4,1,0,695,5
0,26,3,3,1,4,0,9,49,0,19,4,1,0,900,5
0,18,3,3,1,4,3,8,44,0,0,4,1,1,699,8
0,12,3,2,1,3,1,6,39,0,0,4,0,1,545,1
0,59,2,3,1,5,0,13,9,0,0,4,1,0,382,5
0,46,2,3,1,4,0,8,44,0,0,4,1,0,1099,5
0,6,0,0,1,0,1,10,14,0,0,2,0,3,189,1
1,26,3,4,1,4,0,9,49,0,50,4,0,5,900,0
0,41,2,3,1,4,0,8,39,0,0,4,1,0,954,5
0,49,3,3,1,4,1,8,54,24,0,4,1,1,1254,6
0,24,3,3,1,4,1,9,44,0,0,2,1,1,797,6
0,9,3,1,1,1,1,12,39,0,0,4,1,1,495,6
0,30,3,5,1,0,1,10,39,0,0,4,1,1,808,6
0,38,1,1,1,3,0,5,39,0,0,4,1,0,915,5
0,36,3,3,1,4,0,8,39,0,0,4,1,0,890,5
0,0,3,5,2,3,1,2,47,0,0,4,1,2,403,6
0,13,3,3,1,4,1,8,39,0,0,4,1,2,562,6
0,32,3,4,1,5,1,13,59,0,0,4,1,1,1122,6
0,2,3,2,2,4,1,8,29,0,0,2,1,4,298,6
0,28,3,5,1,4,0,8,39,0,0,2,1,0,782,5
0,9,3,2,1,0,1,11,39,0,0,4,1,1,495,6
1,21,3,3,1,0,0,10,39,95,0,4,1,0,683,5
1,19,1,6,1,4,0,8,39,95,0,4,1,0,654,5
0,16,3,3,1,4,1,8,19,0,0,4,1,1,339,6
0,5,1,6,1,4,1,9,39,0,0,2,0,3,430,1
0,26,2,2,1,1,1,12,41,0,0,4,1,1,785,6
0,50,0,0,1,3,0,6,7,0,0,4,1,0,284,5
0,13,0,0,1,0,3,10,39,0,0,4,0,4,562,3
0,39,3,5,4,0,2,11,24,0,0,4,1,1,638,7
0,14,3,4,1,1,1,12,24,0,0,4,1,3,386,6
1,16,3,2,1,1,0,12,39,0,0,4,1,0,610,5
0,9,3,5,1,4,0,8,39,0,0,4,1,0,495,5
1,16,3,2,1,1,0,12,39,0,0,4,1,0,610,5
0,29,1,3,1,3,0,6,29,0,0,4,1,0,633,5
1,42,0,0,1,1,0,12,39,0,0,4,1,0,967,5
1,21,4,1,1,4,0,8,39,0,0,4,1,0,683,5
0,48,3,5,1,3,4,6,39,0,0,3,1,4,1038,9
1,23,3,2,1,0,0,10,39,0,0,4,1,0,709,5
0,25,3,1,1,4,0,8,34,0,0,4,0,5,665,0
0,9,2,3,4,3,0,4,39,0,0,4,1,0,495,5
0,19,3,5,1,3,0,5,23,0,0,4,0,5,424,0
1,45,3,4,1,5,0,13,39,0,0,4,1,0,1004,5
0,26,3,3,1,1,0,12,44,0,0,4,1,0,828,5
1,26,3,2,1,1,3,12,44,0,23,4,1,1,828,8
0,5,3,2,1,4,2,8,54,0,0,4,1,1,567,7
0,11,3,3,1,4,0,8,39,0,0,4,1,0,530,5
0,39,2,2,1,4,0,9,44,0,0,4,1,0,1014,5
0,5,3,2,1,0,1,11,14,0,0,4,0,1,183,1
1,40,3,2,1,1,3,12,44,0,0,4,0,1,1029,3
0,22,3,2,1,4,3,8,39,0,0,4,0,4,695,3
0,9,4,1,1,4,1,9,14,0,0,4,0,4,211,1
0,0,3,5,1,3,1,6,9,0,0,4,1,3,86,6
1,23,1,3,1,0,0,10,37,0,0,4,1,0,683,5
0,28,3,3,1,4,0,8,39,0,0,2,1,0,782,5
0,27,3,3,1,4,1,8,39,0,0,2,1,1,766,6
0,3,1,1,1,4,1,9,9,0,0,4,0,3,104,1
0,16,3,3,1,4,0,8,39,0,0,4,0,5,610,0
0,6,3,2,1,4,1,9,39,0,0,4,1,1,445,6
0,29,2,2,1,5,3,13,29,0,0,4,1,1,633,8
0,21,3,2,1,4,0,8,49,0,0,4,1,0,818,5
0,37,3,3,1,4,3,8,39,0,0,4,1,1,902,8
0,29,3,3,1,3,3,2,44,0,77,4,0,1,874,3
0,8,3,3,1,4,0,9,39,0,0,4,1,0,478,5
0,29,3,2,1,4,3,9,39,0,0,4,0,1,796,3
0,19,1,3,1,4,0,9,39,0,0,4,0,5,654,0
0,6,3,5,1,4,1,8,24,0,0,4,0,1,299,1
0,12,3,3,1,4,3,8,39,0,0,4,1,1,545,8
1,27,3,1,1,4,0,9,5,0,81,4,0,5,145,0
0,2,3,1,1,4,1,9,15,0,0,4,0,3,169,1
0,2,3,5,1,4,1,8,39,0,0,4,0,2,382,1
1,18,3,5,1,4,0,8,39,0,0,4,0,5,638,0
0,10,3,3,1,1,1,12,49,0,0,4,1,1,620,6
0,29,2,3,1,0,3,11,39,0,0,4,1,1,796,8
1,17,1,2,0,1,0,12,44,98,0,4,1,0,686,5
0,17,3,5,1,4,1,8,34,0,0,4,0,1,559,1
0,27,3,2,1,4,0,9,39,0,0,4,1,0,766,5
0,28,3,3,1,4,3,9,39,0,0,4,0,4,782,3
0,3,0,0,1,4,1,8,34,0,0,4,0,2,354,1
1,8,3,2,1,1,0,12,54,0,0,4,1,0,630,5
1,35,2,2,1,1,0,12,49,0,0,4,1,0,1038,5
0,3,3,3,1,4,1,9,39,0,0,4,1,3,396,6
0,11,3,5,1,4,1,9,39,0,0,4,0,1,530,1
1,33,1,6,1,1,0,12,39,0,0,4,1,0,849,5
0,17,3,2,1,0,3,10,63,0,0,4,0,1,908,3
0,11,3,3,2,3,0,3,39,0,67,3,1,0,530,5
1,24,3,2,1,5,0,13,64,0,55,4,1,0,1056,5
0,11,3,1,1,4,0,8,39,0,0,4,1,0,530,5
0,29,2,3,1,4,0,8,24,0,0,4,1,0,541,5
1,11,0,0,1,4,0,9,39,0,50,4,0,5,530,0
0,15,3,2,1,4,0,9,49,0,0,4,1,0,709,5
0,24,1,5,1,4,3,9,23,0,0,2,0,1,468,3
0,7,3,3,1,4,1,8,39,0,0,2,0,4,459,1
0,16,3,2,1,4,3,9,39,0,0,4,0,4,610,3
1,29,3,2,1,2,0,15,59,112,0,4,1,0,1082,5
0,14,1,3,1,4,0,9,39,0,0,4,1,0,579,5
1,18,3,3,1,3,3,7,49,0,0,4,1,1,763,8
0,35,3,3,2,3,0,1,39,0,0,4,1,0,878,5
0,13,3,5,1,3,1,6,18,0,0,4,0,3,298,1
0,17,1,3,1,3,3,6,39,0,0,2,1,1,623,8
0,17,1,3,1,4,3,8,39,0,0,4,0,4,623,3
0,3,3,2,1,4,0,9,29,0,0,4,1,0,311,5
0,0,3,3,1,3,1,6,17,28,0,4,1,3,171,6
1,15,1,2,1,1,0,12,39,0,0,4,0,5,595,0
0,12,3,3,1,4,3,8,39,0,0,4,1,1,545,8
0,16,3,3,1,3,1,5,34,0,0,4,0,4,543,1
0,8,3,3,1,4,0,8,59,0,0,4,1,0,676,5
0,19,4,4,1,5,1,13,39,0,15,4,1,1,654,6
0,6,3,3,2,4,1,8,70,0,0,4,1,1,729,6
1,46,2,2,1,4,0,8,39,0,0,4,1,0,1014,5
0,30,1,4,1,5,0,13,39,0,0,4,1,0,808,5
0,63,0,0,1,4,4,8,23,0,0,4,1,1,823,9
